time_sec,cpu_pct,mem_pct,gpu_pct,gpu_mem_pct,interval_fps,rtt_ms
1,103.1000,13.0440,64.9000,0,4,0.0000
2,97.7000,13.0442,74.2000,0,6,0.0000
3,90.8000,13.0460,9.6000,0,6,0.0000
4,87.7000,13.0460,52.9000,0,5,0.0000
5,101.8000,13.0460,5.8000,0,8,0.0000
6,88.8000,13.0460,52.1000,0,5,0.0000
7,87.8000,13.0460,61.5000,0,5,0.0000
8,88.7000,13.0460,48.9000,0,5,0.0000
9,91.8000,13.0462,54.7000,0,6,0.0000
10,88.8000,13.0461,59.7000,0,6,0.0000
11,91.8000,13.0461,5.7000,0,7,0.0000
12,84.7000,13.0461,42.5000,0,5,0.0000
13,92.8000,13.0461,90.7000,0,7,0.0000
14,90.8000,13.0461,60.7000,0,7,0.0000
15,94.8000,13.0461,26.3000,0,7,0.0000
16,86.8000,13.0463,87.9000,0,6,0.0000
17,91.8000,13.0463,14.3000,0,6,0.0000
18,92.8000,13.0463,31.9000,0,7,0.0000
19,93.5000,13.0463,86.7000,0,7,0.0000
20,92.8000,13.0463,5.5000,0,7,0.0000
21,96.8000,13.0463,0.5000,0,8,0.0000
22,88.8000,13.0463,36.0000,0,6,0.0000
23,85.9000,13.0466,98.0000,0,7,0.0000
24,92.8000,13.0466,88.0000,0,9,0.0000
25,81.8000,13.0466,76.3000,0,7,0.0000
26,80.9000,13.0466,57.3000,0,7,0.0000
27,81.8000,13.0466,39.3000,0,8,0.0000
28,82.8000,13.0466,56.8000,0,8,0.0000
29,88.8000,13.0466,3.2000,0,9,0.0000
30,89.8000,13.0467,62.5000,0,9,0.0000
31,76.9000,13.0473,33.6000,0,7,0.0000
32,81.8000,13.0473,40.3000,0,7,0.0000
33,86.8000,13.0495,10.2000,0,8,0.0000
34,85.8000,13.0495,41.9000,0,7,0.0000
35,84.8000,13.0506,52.3000,0,6,0.0000
36,88.9000,13.0530,12.6000,0,7,0.0000
37,89.8000,13.0530,36.6000,0,7,0.0000
38,89.8000,13.0551,79.5000,0,7,0.0000
39,78.8000,13.0551,46.6000,0,6,0.0000
40,80.8000,13.0551,48.4000,0,7,0.0000
41,91.8000,13.0577,33.7000,0,7,0.0000
42,91.8000,13.0577,20.7000,0,8,0.0000
43,93.8000,13.0607,97.5000,0,8,0.0000
44,88.9000,13.0607,44.0000,0,7,0.0000
45,85.9000,13.0635,0.7000,0,6,0.0000
46,77.7000,13.0635,52.2000,0,5,0.0000
47,81.7000,13.0635,79.5000,0,5,0.0000
48,83.9000,13.0665,64.0000,0,7,0.0000
49,90.9000,13.0665,21.8000,0,7,0.0000
50,78.8000,13.0665,11.2000,0,5,0.0000
51,73.5000,13.0712,67.9000,0,6,0.0000
52,88.8000,13.0712,6.8000,0,7,0.0000
53,85.8000,13.0740,54.9000,0,7,0.0000
54,78.6000,13.0740,86.8000,0,6,0.0000
55,87.8000,13.0740,60.6000,0,8,0.0000
56,83.8000,13.0768,44.1000,0,7,0.0000
57,77.9000,13.0768,98.1000,0,6,0.0000
58,75.9000,13.0797,55.5000,0,6,0.0000
59,83.8000,13.0797,20.6000,0,7,0.0000
60,68.9000,13.0797,54.4000,0,6,0.0000
